GROUP_NAME,MIN,NET_RATING,OFF_RATING,DEF_RATING,AST_PCT,OPP_TOV_PCT,PACE,NET_RATING_z,AST_PCT_z,OPP_TOV_PCT_z,CHEMISTRY_SCORE
R. Gobert - J. Randle - D. DiVincenzo - A. Edwards - J. McDaniels,245.3,12.7,123.8,111.1,0.6,0.13,100.58,0.62739296981386,-0.5371660187669456,-0.3304280222295195,0.08646107483094241
M. Porter Jr. - T. Mann - N. Claxton - N. Clowney - E. Dëmin,181.1,1.3,116.7,115.4,0.75,0.125,99.93,-0.1774083584085662,1.688181010199423,-0.4980364393024646,0.31814283599505083
N. Alexander-Walker - O. Okongwu - J. Johnson - D. Daniels - Z. Risacher,179.3,4.9,118.3,113.4,0.74,0.153,109.22,0.07673942945114733,1.539824541601665,0.44057069630602697,0.5884312164672785
G. Antetokounmpo - M. Turner - G. Trent Jr. - R. Rollins - A. Green,166.7,-9.6,114.5,124.1,0.599,0.106,99.79,-0.9469113827615877,-0.5520016656267215,-1.1349484241796555,-0.8660458759047414
B. Ingram - J. Poeltl - R. Barrett - I. Quickley - S. Barnes,165.9,5.0,121.5,116.6,0.679,0.163,104.74,0.08379909022502824,0.6348500831553427,0.7757875304519171,0.38751207614950034
A. Gordon - N. Jokić - J. Murray - C. Johnson - C. Braun,159.4,11.9,119.2,107.2,0.649,0.123,100.26,0.5709156836228125,0.18978067736206866,-0.5650798061316427,0.2293760837936983
K. Durant - J. Okogie - A. Sengun - J. Smith Jr. - A. Thompson,155.4,13.3,124.0,110.7,0.605,0.19,99.43,0.6697509344571456,-0.4629877844680666,1.6808729826458195,0.5321537284173168
J. Nurkić - L. Markkanen - S. Mykhailiuk - K. George - A. Bailey,151.4,-3.0,113.6,116.6,0.759,0.124,107.29,-0.48097377168544625,1.8217018319374052,-0.5315581227170536,0.1997120391950877
J. Harden - K. Leonard - K. Dunn - I. Zubac - J. Collins,150.0,-3.7,113.4,117.1,0.612,0.168,99.87,-0.5303913971026128,-0.359138256449636,0.9433959475248622,-0.18425798598122475
T. Harris - D. Robinson - C. Cunningham - J. Duren - A. Thompson,148.0,10.4,116.0,105.6,0.61,0.158,105.07,0.46502077201459857,-0.3888095501691876,0.608179113378972,0.23750334363233744
N. Jokić - J. Murray - C. Johnson - P. Watson - S. Jones,136.9,20.8,137.3,116.5,0.651,0.123,98.88,1.1992254924982155,0.21945197108162026,-0.5650798061316427,0.5524323763472653
J. Brown - D. White - N. Queta - P. Pritchard - J. Walsh,127.5,14.6,118.5,103.9,0.55,0.122,95.81,0.7615265245175976,-1.278948361755734,-0.5986014895462316,-0.12264154417716772
K. Porziņģis - N. Alexander-Walker - J. Johnson - D. Daniels - Z. Risacher,126.9,7.3,121.4,114.0,0.68,0.115,105.72,0.24617128802428964,0.6496857300151185,-0.8332532734483543,0.15134070832700947
J. Holiday - D. Avdija - S. Sharpe - T. Camara - D. Clingan,120.4,0.7,114.3,113.6,0.643,0.151,105.81,-0.21976632305185184,0.10076679620341385,0.3735273294768489,-0.0049476567695319745
W. Carter Jr. - D. Bane - F. Wagner - J. Suggs - P. Banchero,117.0,18.0,122.6,104.6,0.628,0.153,107.11,1.0015549908295494,-0.12176790669322318,0.44057069630602697,0.5523612626680131
M. Turner - K. Kuzma - G. Trent Jr. - R. Rollins - A. Green,112.6,-6.0,102.5,108.5,0.611,0.153,104.68,-0.6927635949018742,-0.3739739033094118,0.44057069630602697,-0.37045982918255527
I. Hartenstein - S. Gilgeous-Alexander - L. Dort - C. Holmgren - C. Wallace,112.2,18.3,123.6,105.2,0.626,0.201,97.94,1.0227339731511922,-0.15143920041277478,2.0496115002062987,0.8758575264930234
H. Barnes - D. Fox - L. Kornet - D. Vassell - J. Champagnie,111.8,6.4,116.0,109.5,0.584,0.129,104.13,0.1826343410593613,-0.7745363685233585,-0.3639497056441085,-0.2138336811561486
K. Towns - J. Hart - M. Bridges - J. Brunson - M. McBride,110.4,17.0,134.7,117.7,0.567,0.14,94.31,0.9309583830907401,-1.026742365139547,0.004788811916370657,0.15841424438678006
H. Barnes - D. Vassell - J. Champagnie - V. Wembanyama - S. Castle,110.1,11.7,115.6,103.9,0.642,0.147,102.19,0.5567963620750506,0.08593114934363805,0.23944059581849284,0.35206564500431525
J. Jackson Jr. - V. Williams Jr. - Z. Edey - J. Wells - C. Coward,101.5,13.1,111.7,98.6,0.615,0.107,100.95,0.6556316129093837,-0.3146313158703086,-1.1014267407650664,0.013141063540585946
W. Carter Jr. - D. Bane - F. Wagner - J. Suggs - T. da Silva,98.3,-9.1,106.0,115.1,0.616,0.142,106.41,-0.911613078892183,-0.2997956690105328,0.07183217874554776,-0.5313788044001417
N. Alexander-Walker - O. Okongwu - V. Krejčí - J. Johnson - D. Daniels,94.1,4.8,101.5,96.7,0.667,0.186,105.33,0.06967976867726636,0.4568223208380331,1.5467862489874635,0.4812438303875358
J. Brown - D. White - N. Queta - P. Pritchard - J. Minott,91.6,7.9,115.3,107.4,0.61,0.168,97.75,0.2885292526675753,-0.3888095501691876,0.9433959475248622,0.21630095078800382
A. Wiggins - N. Powell - D. Mitchell - P. Larsson - K. Ware,89.6,-7.1,118.5,125.6,0.596,0.116,106.86,-0.7704198634145644,-0.5965086062060488,-0.7997315900337653,-0.7241088315758499
R. Westbrook - D. DeRozan - D. Schröder - Z. LaVine - D. Sabonis,89.1,-17.9,101.5,119.4,0.639,0.102,106.15,-1.5328632269937048,0.04142420876431064,-1.2690351578380115,-1.0078113824351616
R. Westbrook - D. DeRozan - Z. LaVine - K. Murray - M. Raynaud,84.0,9.6,121.7,112.2,0.62,0.122,104.24,0.4085434858235511,-0.24045308157142958,-0.5986014895462316,0.012415520531100344
D. Mitchell - D. Hunter - D. Garland - E. Mobley - J. Tyson,83.9,-17.5,109.5,127.0,0.662,0.118,102.08,-1.5046245838981813,0.3826440865391541,-0.7326882232045877,-0.784056710628262
K. Caldwell-Pope - J. Jackson Jr. - J. Landale - J. Morant - J. Wells,81.9,-12.2,101.7,114.0,0.687,0.14,101.73,-1.1304625628824918,0.7535352580335491,0.004788811916370657,-0.33821294164790705
S. Bey - H. Jones - T. Murphy III - J. Fears - D. Queen,79.7,7.8,113.8,106.0,0.622,0.158,107.46,0.2814695918936943,-0.21078178785187798,0.608179113378972,0.19913608226707818
M. Smart - D. Ayton - L. Dončić - R. Hachimura - A. Reaves,79.6,13.5,114.6,101.1,0.582,0.178,106.13,0.6838702560049075,-0.8042076622429101,1.2786127816707513,0.35639538566373097
K. Towns - O. Anunoby - J. Hart - M. Bridges - J. Brunson,77.1,21.5,127.9,106.4,0.722,0.134,107.09,1.2486431179153819,1.2727828981257006,-0.19634128857116345,0.9668881706811685
W. Carter Jr. - D. Bane - F. Wagner - P. Banchero - A. Black,76.6,-6.3,108.4,114.7,0.576,0.141,103.41,-0.7139425772235171,-0.8932215434015649,0.038310495330958746,-0.6172756525660362
L. James - D. Ayton - L. Dončić - R. Hachimura - A. Reaves,76.5,-13.1,107.6,120.7,0.548,0.098,104.8,-1.1939995098474203,-1.3086196554752856,-1.403121891496367,-1.2702100298655692
K. Durant - S. Adams - A. Sengun - J. Smith Jr. - A. Thompson,75.8,2.8,111.6,108.8,0.41,0.122,93.45,-0.07151344680035226,-3.3559389221243454,-0.5986014895462316,-1.1622586979467262
B. Ingram - J. Poeltl - I. Quickley - S. Barnes - J. Walter,74.9,5.1,114.5,109.4,0.662,0.125,102.18,0.09085875099890914,0.3826440865391541,-0.4980364393024646,0.06061531360070786
N. Vučević - I. Okoro - T. Jones - J. Giddey - M. Buzelis,73.9,-13.0,102.5,115.5,0.77,0.087,104.22,-1.1869398490735394,1.984893947394939,-1.7718604090568464,-0.35237382212965734
A. Wiggins - D. Smith - N. Jović - J. Jaquez Jr. - S. Fontecchio,71.7,3.5,108.5,104.9,0.683,0.117,109.45,-0.022095821383185735,0.6941926705944459,-0.7662099066191762,0.04396790916290563
J. Valančiūnas - T. Hardaway Jr. - J. Murray - B. Brown - P. Watson,71.5,-5.1,114.3,119.4,0.54,0.103,101.37,-0.6292266479369458,-1.427304830353492,-1.2355134744234224,-0.989907467959205
D. Booker - R. O'Neale - G. Allen - M. Williams - R. Dunn,71.5,14.0,110.1,96.1,0.636,0.187,105.11,0.719168559874312,-0.0030827318150167655,1.5803079324020526,0.6747210468730616
K. Middleton - C. McCollum - A. Sarr - B. Carrington - K. George,71.0,-8.0,115.4,123.4,0.642,0.11,104.8,-0.8339568103794928,0.08593114934363805,-1.0008616905212995,-0.5913713984909149
A. Wiggins - N. Powell - B. Adebayo - T. Herro - D. Mitchell,70.9,12.5,122.0,109.4,0.586,0.138,109.27,0.6132736482660981,-0.7448650748038068,-0.062254554912807375,0.07072639070934554
K. Caldwell-Pope - J. Landale - S. Aldama - C. Spencer - J. Wells,68.3,0.7,128.6,127.9,0.667,0.143,100.92,-0.21976632305185184,0.4568223208380331,0.10535386216013677,0.048234307157511355
