GROUP_SET,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SUM_TIME_PLAYED
Lineups,-203114-203468-1642259-1642267-1642273-,K. Middleton - C. McCollum - A. Sarr - B. Carrington - K. George,1610612764,WAS,7,1,6,0.143,71.0,115.3,115.4,124.7,123.4,-9.3,-8.0,0.642,2.15,19.6,0.27,0.792,0.527,0.128,0.574,0.6,104.3,104.8,87.34,156,0.469,1,2,282,62,1,92,167,143,94,27,91,94,87,77,166,97,106,173,110,212970
Lineups,-203114-203468-1641731-1642259-1642273-,K. Middleton - C. McCollum - B. Coulibaly - A. Sarr - K. George,1610612764,WAS,4,0,4,0.0,61.0,102.2,103.2,112.9,113.1,-10.7,-9.9,0.733,1.83,19.2,0.191,0.717,0.438,0.143,0.519,0.541,100.9,100.34,83.61,126,0.389,7,63,272,63,2,104,147,147,76,45,93,118,102,147,167,110,126,207,140,183700
Lineups,-1628963-1630557-1641715-1642273-1642848-,M. Bagley III - C. Kispert - C. Whitmore - K. George - T. Johnson,1610612764,WAS,5,1,4,0.2,39.0,98.9,94.5,124.9,122.0,-25.9,-27.5,0.6,1.13,15.4,0.182,0.633,0.419,0.176,0.529,0.559,108.4,112.18,93.48,91,0.378,4,2,272,58,3,139,162,166,99,56,111,119,132,158,186,107,119,120,142,116815
Lineups,-203468-1628963-1630551-1642267-1642273-,C. McCollum - M. Bagley III - J. Champagnie - B. Carrington - K. George,1610612764,WAS,4,1,3,0.25,38.0,130.7,128.9,121.1,122.4,9.6,6.6,0.595,1.83,21.0,0.276,0.775,0.565,0.158,0.719,0.721,96.8,96.93,80.78,76,0.491,7,2,264,56,4,63,165,84,105,45,68,92,88,67,172,59,64,223,105,112905
Lineups,-203114-203468-1628963-1641731-1642273-,K. Middleton - C. McCollum - M. Bagley III - B. Coulibaly - K. George,1610612764,WAS,3,1,2,0.333,37.0,121.0,125.3,115.8,116.7,5.1,8.6,0.643,3.0,22.7,0.342,0.75,0.529,0.114,0.617,0.605,102.7,100.51,83.76,79,0.545,14,2,225,49,5,66,150,82,93,17,57,68,90,76,158,87,104,204,88,112470
Lineups,-1628963-1630557-1641715-1642267-1642848-,M. Bagley III - C. Kispert - C. Whitmore - B. Carrington - T. Johnson,1610612764,WAS,6,1,5,0.167,37.0,118.1,113.3,121.0,118.1,-2.9,-4.8,0.657,2.3,20.2,0.222,0.769,0.507,0.12,0.601,0.622,104.5,108.06,90.05,83,0.487,2,2,279,60,6,96,157,141,92,26,71,112,89,80,161,92,94,145,107,110610
Lineups,-203114-203468-1642259-1642273-1642848-,K. Middleton - C. McCollum - A. Sarr - K. George - T. Johnson,1610612764,WAS,5,1,4,0.2,31.0,132.5,131.0,107.9,104.4,24.6,26.6,0.622,2.09,21.3,0.438,0.649,0.551,0.155,0.638,0.653,103.9,106.17,88.47,71,0.604,4,2,272,58,7,62,137,65,98,28,66,52,130,69,171,79,83,156,76,94265
Lineups,-203468-1628963-1630557-1641715-1642267-,C. McCollum - M. Bagley III - C. Kispert - C. Whitmore - B. Carrington,1610612764,WAS,4,0,4,0.0,29.0,122.4,124.2,129.6,127.4,-7.2,-3.2,0.481,1.86,15.5,0.345,0.485,0.419,0.113,0.564,0.612,104.3,104.37,86.98,62,0.479,7,63,272,63,8,75,180,139,141,44,110,67,174,158,157,100,100,175,108,85540
Lineups,-1630551-1641715-1641774-1642267-1642273-,J. Champagnie - C. Whitmore - T. Vukcevic - B. Carrington - K. George,1610612764,WAS,3,1,2,0.333,25.0,115.6,107.1,134.6,130.9,-19.1,-23.8,0.8,4.0,19.8,0.333,0.565,0.434,0.071,0.469,0.536,100.3,105.64,88.04,56,0.435,14,2,225,49,9,102,186,160,66,6,90,69,146,148,138,133,128,166,123,75650
Lineups,-203114-203468-1642259-1642267-1642848-,K. Middleton - C. McCollum - A. Sarr - B. Carrington - T. Johnson,1610612764,WAS,6,1,5,0.167,24.0,98.2,94.5,128.2,127.3,-30.0,-32.7,0.8,2.0,21.6,0.12,0.565,0.333,0.145,0.511,0.542,106.7,109.17,90.97,55,0.353,2,2,279,60,10,138,177,168,66,29,65,130,146,172,170,113,125,140,149,72550
Lineups,-203468-1630551-1641731-1642259-1642273-,C. McCollum - J. Champagnie - B. Coulibaly - A. Sarr - K. George,1610612764,WAS,2,0,2,0.0,20.0,103.3,111.9,111.5,116.7,-8.2,-4.8,0.684,1.63,20.3,0.409,0.565,0.489,0.19,0.525,0.54,107.1,100.55,83.79,42,0.42,27,63,225,63,11,98,150,140,79,48,70,53,146,131,193,109,127,203,129,60150
